episode,rewards,lengths,successes
1057,6.0,15,True
1058,2.0,19,True
1059,7.0,14,True
1060,9.0,12,True
1061,8.0,13,True
1062,-11.0,32,True
1063,9.0,12,True
1064,-15.0,36,True
1065,0.0,21,True
1066,-5.0,26,True
1067,-10.0,31,True
1068,0.0,21,True
1069,-4.0,25,True
1070,-2.0,23,True
1071,11.0,10,True
1072,9.0,12,True
1073,-16.0,37,True
1074,-4.0,25,True
1075,9.0,12,True
1076,13.0,8,True
1077,-6.0,27,True
1078,-2.0,23,True
1079,6.0,15,True
1080,-3.0,24,True
1081,8.0,13,True
1082,-1.0,22,True
1083,9.0,12,True
1084,8.0,13,True
1085,8.0,13,True
1086,8.0,13,True
1087,10.0,11,True
1088,-22.0,43,True
1089,-5.0,26,True
1090,7.0,14,True
1091,7.0,14,True
1092,8.0,13,True
1093,12.0,9,True
1094,11.0,10,True
1095,2.0,19,True
1096,-29.0,50,True
1097,9.0,12,True
1098,-41.0,62,True
1099,10.0,11,True
1100,-13.0,34,True
1101,5.0,16,True
1102,6.0,15,True
1103,-2.0,23,True
1104,5.0,16,True
1105,4.0,17,True
1106,12.0,9,True
1107,-7.0,28,True
1108,15.0,6,True
1109,8.0,13,True
1110,12.0,9,True
1111,10.0,11,True
1112,6.0,15,True
1113,8.0,13,True
1114,5.0,16,True
1115,8.0,13,True
1116,8.0,13,True
1117,-5.0,26,True
1118,5.0,16,True
1119,9.0,12,True
1120,0.0,21,True
1121,13.0,8,True
1122,-2.0,23,True
1123,-16.0,37,True
1124,6.0,15,True
1125,-28.0,49,True
1126,-18.0,30,True
1127,9.0,12,True
1128,7.0,14,True
1129,10.0,11,True
1130,3.0,18,True
1131,13.0,8,True
1132,11.0,10,True
1133,2.0,19,True
1134,-9.0,30,True
1135,10.0,11,True
1136,9.0,12,True
1137,3.0,18,True
1138,-33.0,45,True
1139,3.0,18,True
1140,5.0,16,True
1141,-12.0,33,True
1142,9.0,12,True
1143,9.0,12,True
1144,-18.0,39,True
1145,4.0,17,True
1146,-1.0,22,True
1147,11.0,10,True
1148,10.0,11,True
1149,-6.0,27,True
1150,7.0,14,True
1151,9.0,12,True
1152,-4.0,25,True
1153,7.0,14,True
1154,-31.0,52,True
1155,6.0,15,True
1156,10.0,11,True
1157,5.0,16,True
1158,11.0,10,True
1159,10.0,11,True
1160,0.0,21,True
1161,-9.0,30,True
1162,4.0,17,True
1163,-4.0,25,True
1164,6.0,15,True
1165,1.0,20,True
1166,9.0,12,True
1167,7.0,14,True
1168,-17.0,38,True
1169,8.0,13,True
1170,7.0,14,True
1171,7.0,14,True
1172,11.0,10,True
1173,-29.0,41,True
1174,5.0,16,True
1175,10.0,11,True
1176,-14.0,35,True
1177,8.0,13,True
1178,10.0,11,True
1179,9.0,12,True
1180,13.0,8,True
1181,11.0,10,True
1182,4.0,17,True
1183,-15.0,36,True
1184,12.0,9,True
1185,9.0,12,True
1186,-19.0,40,True
1187,9.0,12,True
1188,-2.0,23,True
1189,12.0,9,True
1190,-9.0,30,True
1191,7.0,14,True
1192,3.0,18,True
1193,-9.0,30,True
1194,6.0,15,True
1195,-10.0,31,True
1196,1.0,20,True
1197,-10.0,22,True
1198,-2.0,23,True
1199,-10.0,31,True
1200,12.0,9,True
1201,3.0,18,True
1202,-4.0,25,True
1203,11.0,10,True
1204,9.0,12,True
1205,8.0,13,True
1206,8.0,13,True
1207,4.0,17,True
1208,9.0,12,True
1209,11.0,10,True
1210,3.0,18,True
1211,1.0,11,True
1212,-1.0,22,True
1213,6.0,15,True
1214,-1.0,22,True
1215,2.0,19,True
1216,7.0,14,True
1217,5.0,16,True
1218,6.0,15,True
1219,12.0,9,True
1220,-14.0,35,True
1221,8.0,13,True
1222,-16.0,37,True
1223,11.0,10,True
1224,5.0,16,True
1225,-43.0,46,True
1226,11.0,10,True
1227,14.0,7,True
1228,7.0,14,True
1229,-2.0,23,True
1230,9.0,12,True
1231,8.0,13,True
1232,-6.0,18,True
1233,4.0,17,True
1234,11.0,10,True
1235,-16.0,37,True
1236,-11.0,23,True
1237,6.0,15,True
1238,4.0,17,True
1239,5.0,16,True
1240,12.0,9,True
1241,-7.0,28,True
1242,11.0,10,True
1243,9.0,12,True
1244,8.0,13,True
1245,-29.0,50,True
1246,4.0,17,True
1247,11.0,10,True
1248,13.0,8,True
1249,12.0,9,True
1250,14.0,7,True
1251,4.0,17,True
1252,3.0,18,True
1253,12.0,9,True
1254,-1.0,22,True
1255,9.0,12,True
1256,7.0,14,True
1257,5.0,16,True
1258,1.0,20,True
1259,3.0,18,True
1260,8.0,13,True
